address,region,house_size,property_size,sales_price,sales_date
"
          Frejavägen 13
        ","
            Torsvik,
          Lidingö kommun
        ","
                185
                ","
              1 337 m² tomt
            ","
            Slutpris 18 500 000 kr
        ","
            Såld 13 november 2022
          "
"
          Blixtvägen 40
        ","
            Berghem - Jakobsberg,
          Järfälla kommun
        ","
                139 m²
             
              6 rum
          ","
              901 m² tomt
            ","
            Slutpris 5 900 000 kr
        ","
            Såld 12 november 2022
          "
"
          Milstensvägen 44
        ","
            Ella Park,
          Täby kommun
        ","
                145
                ","
              819 m² tomt
            ","
            Slutpris 8 500 000 kr
        ","
            Såld 12 november 2022
          "
"
          Verdandivägen 11
        ","
            Skuru,
          Nacka kommun
        ","
                123
                ","
              1 249 m² tomt
            ","
            Slutpris 8 900 000 kr
        ","
            Såld 12 november 2022
          "
"
          Ekbacksvägen 52
        ","
            Åkerstorp,
          Österåkers kommun
        ","
                111
                ","
              963 m² tomt
            ","
            Slutpris 4 850 000 kr
        ","
            Såld 11 november 2022
          "
"
          Bäcktorpsvägen 7
        ","
            Björknäs,
          Nacka kommun
        ","
                141 m²
             
              6 rum
          ","
              1 773 m² tomt
            ","
            Slutpris 6 525 000 kr
        ","
            Såld 11 november 2022
          "
"
          Bukettvägen 11
        ","
            Gustavsberg Charlottendal,
          Värmdö kommun
        ","
                183 m²
             
              7 rum
          ","
              414 m² tomt
            ","
            Slutpris 9 065 000 kr
        ","
            Såld 11 november 2022
          "
"
          Solfagravägen 53
        ","
            Hörningsnäs,
          Huddinge kommun
        ","
                73
                ","
              1 517 m² tomt
            ","
            Slutpris 4 600 000 kr
        ","
            Såld 11 november 2022
          "
"
          Kaprifolvägen 34
        ","
            Hässelby Södra Villastad,
          Stockholms kommun
        ","
                233
                ","
              702 m² tomt
            ","
            Slutpris 7 525 000 kr
        ","
            Såld 11 november 2022
          "
"
          Karlsborgsvägen 263
        ","
            Märsta,
          Sigtuna kommun
        ","
                76 m²
             
              3 rum
          ","
              260 m² tomt
            ","
            Slutpris 3 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Broholmsvägen 25
        ","
            Sigtuna - Sjudargården,
          Sigtuna kommun
        ","
                273
                ","
              1 970 m² tomt
            ","
            Slutpris 9 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Gnejsvägen 12
        ","
            Bromma Ålsten,
          Stockholms kommun
        ","
                124
                ","
              1 039 m² tomt
            ","
            Slutpris 14 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Nygärdesvägen 17
        ","
            Rensättra,
          Nacka kommun
        ","
                145 m²
             
              6 rum
          ","
              1 312 m² tomt
            ","
            Slutpris 8 100 000 kr
        ","
            Såld 11 november 2022
          "
"
          Bergstigsvägen 12A
        ","
            Odenslunda,
          Upplands Väsby kommun
        ","
                167
                ","
              1 300 m² tomt
            ","
            Slutpris 5 700 000 kr
        ","
            Såld 11 november 2022
          "
"
          Bergtomtavägen 17
        ","
            Fullersta,
          Huddinge kommun
        ","
                192 m²
             
              6 rum
          ","
              1 122 m² tomt
            ","
            Slutpris 11 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Gärdesvägen 22
        ","
            Tumba,
          Botkyrka kommun
        ","
                131 m²
             
              5 rum
          ","
              391 m² tomt
            ","
            Slutpris 4 300 000 kr
        ","
            Såld 11 november 2022
          "
"
          Venusgatan 36
        ","
            Märsta - Steninge,
          Sigtuna kommun
        ","
                109 m²
             
              5 rum
          ","
              371 m² tomt
            ","
            Slutpris 3 300 000 kr
        ","
            Såld 11 november 2022
          "
"
          Vistavägen 10A
        ","
            Fullersta,
          Huddinge kommun
        ","
                112
                ","
              606 m² tomt
            ","
            Slutpris 6 600 000 kr
        ","
            Såld 11 november 2022
          "
"
          Sollentunavägen 115
        ","
            Helenelund,
          Sollentuna kommun
        ","
                73
                ","
              1 157 m² tomt
            ","
            Slutpris 6 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Härsviksbacken 12
        ","
            Ingarö - Skälsmara,
          Värmdö kommun
        ","
                112
                ","
              3 457 m² tomt
            ","
            Slutpris 10 000 000 kr
        ","
            Såld 11 november 2022
          "
"
          Svinningevägen 103
        ","
            Svinninge,
          Österåkers kommun
        ","
                102
                ","
              1 715 m² tomt
            ","
            Slutpris 4 700 000 kr
        ","
            Såld 10 november 2022
          "
"
          Ägostigen 27
        ","
            Bårsta,
          Södertälje kommun
        ","
                119 m²
             
              5 rum
          ","
              209 m² tomt
            ","
            Slutpris 3 750 000 kr
        ","
            Såld 10 november 2022
          "
"
          Sågsjövägen 4
        ","
            Kummelnäs,
          Nacka kommun
        ","
                103
                ","
              2 493 m² tomt
            ","
            Slutpris 7 550 000 kr
        ","
            Såld 10 november 2022
          "
"
          Söderby backe 17
        ","
            Vistaberg,
          Huddinge kommun
        ","
                145
                ","
              1 153 m² tomt
            ","
            Slutpris 7 100 000 kr
        ","
            Såld 10 november 2022
          "
"
          Västerljungsvägen 24
        ","
            Örby,
          Stockholms kommun
        ","
                133
                ","
              651 m² tomt
            ","
            Slutpris 9 000 000 kr
        ","
            Såld 10 november 2022
          "
"
          Tennisgränd 8
        ","
            Ekerö Hummelvreten,
          Ekerö kommun
        ","
                106 m²
             
              4 rum
          ","
              235 m² tomt
            ","
            Slutpris 4 800 000 kr
        ","
            Såld 10 november 2022
          "
"
          Håkon vikings väg 14
        ","
            Asplund,
          Norrtälje kommun
        ","
                85
                ","
              2 127 m² tomt
            ","
            Slutpris 2 690 000 kr
        ","
            Såld 10 november 2022
          "
"
          Åkervägen 116
        ","
            Enskededalen,
          Stockholms kommun
        ","
                140
                ","
              692 m² tomt
            ","
            Slutpris 13 500 000 kr
        ","
            Såld 10 november 2022
          "
"
          Björkliden 51
        ","
            Skarpäng,
          Täby kommun
        ","
                156
                ","
              1 001 m² tomt
            ","
            Slutpris 9 350 000 kr
        ","
            Såld 10 november 2022
          "
"
          Villagatan 68
        ","
            Kullsta,
          Nynäshamns kommun
        ","
                97 m²
             
              4 rum
          ","
              250 m² tomt
            ","
            Slutpris 3 500 000 kr
        ","
            Såld 10 november 2022
          "
"
          Solskensgränd 12
        ","
            Kallhäll,
          Järfälla kommun
        ","
                142 m²
             
              5 rum
          ","
              390 m² tomt
            ","
            Slutpris 5 650 000 kr
        ","
            Såld 10 november 2022
          "
"
          Huldabergsvägen 27
        ","
            Vendelsömalm,
          Haninge kommun
        ","
                90
                ","
              924 m² tomt
            ","
            Slutpris 4 150 000 kr
        ","
            Såld 10 november 2022
          "
"
          Smidövägen 7
        ","
            Smidö,
          Upplands-Bro kommun
        ","
                110
                ","
              3 340 m² tomt
            ","
            Slutpris 2 850 000 kr
        ","
            Såld 10 november 2022
          "
"
          Smårisvägen 14
        ","
            Småris - Södra Kopparmora,
          Värmdö kommun
        ","
                185
                ","
              3 405 m² tomt
            ","
            Slutpris 6 985 000 kr
        ","
            Såld 10 november 2022
          "
